id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,user,followers,friends,hashtags,place,coordinates,favorites
1498786035551117317,Tue Mar 01 22:23:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DemonTimePicks: Who’s riding the hot hand? Love the Timberwolves at home vs the banged up Warriors. 
#SportsGambling #GamblingTwitter #…",Who ’ riding hot hand Love Timberwolves home vs banged Warriors …,"Sentiment(polarity=0.375, subjectivity=0.7250000000000001)",0.375,0.7250000000000001,en,0,1,"{'id': 1443631849637564423, 'id_str': '1443631849637564423', 'name': 'MoneyMoguls™️', 'screen_name': 'Money__Moguls', 'location': '', 'description': 'Ever want a place where you can learn all things money? Sports Gambling (‘22: +25.86U💰) // Stocks // Crypto // NFTs // ...not a financial advisor...', 'url': 'https://t.co/I0tv8YCgrH', 'entities': {'url': {'urls': [{'url': 'https://t.co/I0tv8YCgrH', 'expanded_url': 'http://www.tiktok.com/@moneymoguls', 'display_url': 'tiktok.com/@moneymoguls', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 165, 'friends_count': 340, 'listed_count': 0, 'created_at': 'Thu Sep 30 17:40:37 +0000 2021', 'favourites_count': 342, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 504, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1481400881123893249/_vSDtKEd_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1481400881123893249/_vSDtKEd_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1443631849637564423/1639969473', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",165,340,"SportsGambling, GamblingTwitter",DemonTimePicks,,
1498785920195215360,Tue Mar 01 22:23:04 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Who’s riding the hot hand? Love the Timberwolves at home vs the banged up Warriors. 
#SportsGambling… https://t.co/WTNGNMSGGA",Who ’ riding hot hand Love Timberwolves home vs banged Warriors …,"Sentiment(polarity=0.375, subjectivity=0.7250000000000001)",0.375,0.7250000000000001,en,1,1,"{'id': 1151982416782905344, 'id_str': '1151982416782905344', 'name': 'Demon Time', 'screen_name': 'DemonTimePicks', 'location': 'United States', 'description': 'I Tweet Winners || EST. 10/20/21', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 128, 'friends_count': 56, 'listed_count': 0, 'created_at': 'Thu Jul 18 22:29:45 +0000 2019', 'favourites_count': 198, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 662, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1489696346475016196/KmyYck62_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1489696346475016196/KmyYck62_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1151982416782905344/1639426776', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",128,56,SportsGambling,,United States,
1498785823067627527,Tue Mar 01 22:22:40 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tonight’s Best Bets via https://t.co/zPjzkPHTvY! 

Follow for more sharp bets, sports betting picks and model trend… https://t.co/JvyotfKrqq",Tonight ’ Best Bets via Follow sharp bets sports betting picks model trend…,"Sentiment(polarity=0.4375, subjectivity=0.525)",0.4375,0.525,en,0,0,"{'id': 1451863182738341890, 'id_str': '1451863182738341890', 'name': 'Sharpest Bets', 'screen_name': 'SharpestBets', 'location': '', 'description': 'Our proprietary algorithm evaluates tickets from sportsbooks worldwide to find you the sharpest bets every day. #SportsBetting #GamblingTwitter #BettingTwitter', 'url': 'https://t.co/8gu0MD18hz', 'entities': {'url': {'urls': [{'url': 'https://t.co/8gu0MD18hz', 'expanded_url': 'http://SharpestBets.com', 'display_url': 'SharpestBets.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 448, 'friends_count': 417, 'listed_count': 4, 'created_at': 'Sat Oct 23 10:49:00 +0000 2021', 'favourites_count': 12, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2599, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1466350233491755011/_TfkFj-U_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1466350233491755011/_TfkFj-U_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1451863182738341890/1638440114', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",448,417,,,,
1498785777987330051,Tue Mar 01 22:22:30 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @FlyersRule: NEW PODCAST: @ThePressZone

🔴 Special guest Frédérique Collerette!

@AllHabs &amp; I talk with @RocketLaval Media Relations Coo…",NEW PODCAST Special guest Frédérique Collerette amp I talk Media Relations Coo…,"Sentiment(polarity=0.24675324675324675, subjectivity=0.512987012987013)",0.24675324675324675,0.512987012987013,en,0,3,"{'id': 480376870, 'id_str': '480376870', 'name': 'Fred Arshoff', 'screen_name': 'FredArshoff', 'location': 'Montreal, Quebec, Canada', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 623, 'friends_count': 2430, 'listed_count': 3, 'created_at': 'Wed Feb 01 12:37:24 +0000 2012', 'favourites_count': 10081, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 27723, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3105601246/c057a6338ea266244c52f7a7a71c56dc_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3105601246/c057a6338ea266244c52f7a7a71c56dc_normal.jpeg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",623,2430,,"FlyersRule, ThePressZone, AllHabs, RocketLaval","Montreal, Quebec, Canada",
1498785694847692801,Tue Mar 01 22:22:10 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @FlyersRule: NEW PODCAST: @ThePressZone

🔴 Special guest Frédérique Collerette!

@AllHabs &amp; I talk with @RocketLaval Media Relations Coo…",NEW PODCAST Special guest Frédérique Collerette amp I talk Media Relations Coo…,"Sentiment(polarity=0.24675324675324675, subjectivity=0.512987012987013)",0.24675324675324675,0.512987012987013,en,0,3,"{'id': 1094322088561631232, 'id_str': '1094322088561631232', 'name': 'The Hockey Podcast Network', 'screen_name': 'hockeypodnet', 'location': 'Vancouver Island', 'description': 'The Official Twitter Page #THPN\n\n-Original Content w/ #NHL Alumni\n-New Episodes Everyday\n-DraftKings.com Promo Code: THPN\nhello@thehockeypodcastnetwork.com', 'url': 'https://t.co/DwHUQLqIHD', 'entities': {'url': {'urls': [{'url': 'https://t.co/DwHUQLqIHD', 'expanded_url': 'http://www.thehockeypodcastnetwork.com', 'display_url': 'thehockeypodcastnetwork.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 4374, 'friends_count': 992, 'listed_count': 22, 'created_at': 'Sat Feb 09 19:48:12 +0000 2019', 'favourites_count': 46897, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 16478, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1311445030427529216/dRCf9SU2_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1311445030427529216/dRCf9SU2_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1094322088561631232/1612303023', 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",4374,992,,"FlyersRule, ThePressZone, AllHabs, RocketLaval",Vancouver Island,
1498785481710002176,Tue Mar 01 22:21:19 +0000 2022,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Habs bot</a>","RT @FlyersRule: NEW PODCAST: @ThePressZone

🔴 Special guest Frédérique Collerette!

@AllHabs &amp; I talk with @RocketLaval Media Relations Coo…",NEW PODCAST Special guest Frédérique Collerette amp I talk Media Relations Coo…,"Sentiment(polarity=0.24675324675324675, subjectivity=0.512987012987013)",0.24675324675324675,0.512987012987013,en,0,3,"{'id': 1452671254490722315, 'id_str': '1452671254490722315', 'name': '🏒 Habs Bot 🇺🇦🤖', 'screen_name': 'habsgo1', 'location': 'Montreal', 'description': ""Bonjour, Hi👋 \nI'm a Bot retweeting #gohabsgo and #habs \nfollow to get everything habs related. \n\nFor #cfmtl follow 👉 @cfmtlbot \n\nby @bylking7"", 'url': 'https://t.co/VkR5piwxeA', 'entities': {'url': {'urls': [{'url': 'https://t.co/VkR5piwxeA', 'expanded_url': 'https://www.nhl.com/canadiens', 'display_url': 'nhl.com/canadiens', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 268, 'friends_count': 3, 'listed_count': 0, 'created_at': 'Mon Oct 25 16:20:22 +0000 2021', 'favourites_count': 22356, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 42971, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1452673026978418698/wslfUs-p_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1452673026978418698/wslfUs-p_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1452671254490722315/1635179214', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",268,3,,"FlyersRule, ThePressZone, AllHabs, RocketLaval",Montreal,
1498785471681515528,Tue Mar 01 22:21:17 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@DraftKings Not a player. But Rob Manfred cause he officially made me mad in march,Not player But Rob Manfred cause officially made mad march,"Sentiment(polarity=-0.625, subjectivity=1.0)",-0.625,1.0,en,0,0,"{'id': 557459670, 'id_str': '557459670', 'name': 'Kall', 'screen_name': 'Yourpal_mkall', 'location': '518', 'description': '12/20/21❤️\u200d🔥 #skol #yankees #NYRangers  #PowerUniverse Just a New Yorker livin his best life. sports fanatic', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 419, 'friends_count': 130, 'listed_count': 2, 'created_at': 'Thu Apr 19 03:01:12 +0000 2012', 'favourites_count': 7128, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 38185, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1490768853990883339/3gtccIxe_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1490768853990883339/3gtccIxe_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/557459670/1644261967', 'profile_link_color': '121314', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",419,130,,DraftKings,518,
1498785399149412355,Tue Mar 01 22:20:59 +0000 2022,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NEW PODCAST: @ThePressZone

🔴 Special guest Frédérique Collerette!

@AllHabs &amp; I talk with @RocketLaval Media Relat… https://t.co/oCPdjvxX6m",NEW PODCAST Special guest Frédérique Collerette amp I talk Media Relat…,"Sentiment(polarity=0.24675324675324675, subjectivity=0.512987012987013)",0.24675324675324675,0.512987012987013,en,3,3,"{'id': 21940258, 'id_str': '21940258', 'name': 'Amy Johnson', 'screen_name': 'FlyersRule', 'location': 'Lehigh Valley, PA', 'description': 'Credentialed hockey reporter: Laval Rocket (AHL) @TheAHLReport | MTL Canadiens (NHL) @AllHabs | Podcast host @ThePressZone | Voice Actor @ThePurpleGypsy', 'url': 'https://t.co/gQ4uOuERss', 'entities': {'url': {'urls': [{'url': 'https://t.co/gQ4uOuERss', 'expanded_url': 'http://ahlreport.com', 'display_url': 'ahlreport.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 2804, 'friends_count': 1720, 'listed_count': 118, 'created_at': 'Wed Feb 25 23:59:26 +0000 2009', 'favourites_count': 4524, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 45325, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1474718855/e6ba202c-132f-4338-9ad8-1e269765ee00_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1474718855/e6ba202c-132f-4338-9ad8-1e269765ee00_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/21940258/1356884881', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",2804,1720,,"ThePressZone, AllHabs, RocketLaval","Lehigh Valley, PA",
1498785361799127046,Tue Mar 01 22:20:50 +0000 2022,"<a href=""https://colab.research.google.com/"" rel=""nofollow"">LaxBetBot</a>","DraftKings total odds change: High Point vs Duke
Over 27.5 (-130)
Under 27.5 (+100)",DraftKings total odds change High Point vs Duke Over -130 Under +100,"Sentiment(polarity=0.08, subjectivity=0.645)",0.08,0.645,en,0,0,"{'id': 1486049705331240962, 'id_str': '1486049705331240962', 'name': 'Lacrosse Betting Bot', 'screen_name': 'laxbetbot', 'location': '', 'description': 'Automated lacrosse betting updates. Still a work in progress at this point', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 34, 'friends_count': 17, 'listed_count': 0, 'created_at': 'Tue Jan 25 18:55:10 +0000 2022', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 605, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",34,17,,,,
1498785175332917258,Tue Mar 01 22:20:06 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RotoJake: Late switch in the co-main, no problem. @JonLitterine breaks down the main fights at #UFC272 from a #DFS angle in this week's…",Late switch co-main problem breaks main fights angle week's…,"Sentiment(polarity=-0.06666666666666667, subjectivity=0.4666666666666667)",-0.06666666666666667,0.4666666666666667,en,0,1,"{'id': 253861603, 'id_str': '253861603', 'name': 'Jon Litterine', 'screen_name': 'JonLitterine', 'location': '', 'description': '@RotoWire lead MMA writer & editor, @DraftKings contributor, @RotoWire NHL Prospect Analyst - @TheAHL writer for @TheDraftAnalyst', 'url': 'https://t.co/C0zOR78Pg2', 'entities': {'url': {'urls': [{'url': 'https://t.co/C0zOR78Pg2', 'expanded_url': 'http://www.RotoWire.com/mma', 'display_url': 'RotoWire.com/mma', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 232, 'friends_count': 216, 'listed_count': 20, 'created_at': 'Fri Feb 18 03:30:25 +0000 2011', 'favourites_count': 118, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2879, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1417497321177296900/tDuqSR7j_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1417497321177296900/tDuqSR7j_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/253861603/1431162750', 'profile_link_color': 'DD2E44', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",232,216,"UFC272, DFS","RotoJake, JonLitterine",,
